FeatureExtractor,Classifier,Accuracy
VGG16,KNN,0.42435424354243545
VGG16,Random Forest,0.8819188191881919
VGG16,Naive Bayes,0.5830258302583026
VGG16,Logistic Regression,0.955719557195572
VGG19,KNN,0.3837638376383764
VGG19,Random Forest,0.9188191881918819
VGG19,Naive Bayes,0.6199261992619927
VGG19,Logistic Regression,0.948339483394834
ResNet50,KNN,0.7749077490774908
ResNet50,Random Forest,0.9114391143911439
ResNet50,Naive Bayes,0.5867158671586716
ResNet50,Logistic Regression,0.974169741697417
